ISIN,WKN,Bezeichnung,Anlagegruppe,Anlageuniversum
DE000LS9ANT8,LS9ANT,"Dax30-Werte Contra","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9ANU6,LS9ANU,"Spekulative Chancen","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9ANV4,LS9ANV,"Substanzerhalt + Wachstum + Chance","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9ANY8,LS9ANY,"Dividenden Deutschland","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9ANZ5,LS9ANZ,"TSI Trend Strategy Growtex","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9APA3,LS9APA,Mobil,"sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9APC9,LS9APC,"Daily Trendsetter","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9APD7,LS9APD,PertEnt,"sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9APE5,LS9APE,"Long/Short - Aktien und Anleihen","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9APF2,LS9APF,"Swings mit relativ starken Aktien","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9APG0,LS9APG,"TSI Trend Strategy Stratex ","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9APH8,LS9APH,"The Bullets and the Bandages","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
