ISIN,WKN,Bezeichnung,Anlagegruppe,Anlageuniversum
DE000A0H08P6,A0H08P,"ISHRS STX600 RETAIL",ETFs,"ETFs Branchen"
DE000A0H08Q4,A0H08Q,"ISHRS STX600 TECHNOLOGY",ETFs,"ETFs Branchen"
DE000A0H08R2,A0H08R,"ISHRS STX600 TELECOMMUNICATIONS",ETFs,"ETFs Branchen"
DE000A0H08S0,A0H08S,"ISHRS STX600 TRAVEL & LEISURE",ETFs,"ETFs Branchen"
DE000A0Q4R02,A0Q4R0,"ISHRS STX600 UTILITIES",ETFs,"ETFs Branchen"
DE000A0Q4R28,A0Q4R2,"ISHRS STX600 AUTOMOBILES & PARTS",ETFs,"ETFs Branchen"
DE000A0Q4R36,A0Q4R3,"ISHRS STX600 HEALTH CARE",ETFs,"ETFs Branchen"
DE000A0Q4R44,A0Q4R4,"ISHRS STX600 REAL ESTATE",ETFs,"ETFs Branchen"
DE000A0Q4R69,A0Q4R6,"ISHS DAX ESG UCITS",ETFs,"ETFs DAX"
DE000A0Q4R85,A0Q4R8,"ISH.MSCI.BRAZIL U.ETF DE",ETFs,"ETFs Emerging Markets"
DE000A0Q4RZ9,A0Q4RZ,ISH.EB.REXX.MON.MARK.(DE),ETFs,"ETFs Europa Bonds"
DE000A0S9GB0,A0S9GB,"DB GOLD OEZT",ETFs,"ETFs Rohstoffe ETCs"
DE000A1E0HR8,A1E0HR,"DB ETC GOLD EUR 60",ETFs,"ETFs Rohstoffe ETCs"
DE000A1E0HS6,A1E0HS,"DB ETC SLVR EUR 60",ETFs,"ETFs Rohstoffe ETCs"
DE000A1EK0G3,A1EK0G,"XTR P GOLD EUR H60",ETFs,"ETFs DAX"
DE000A1EK0H1,A1EK0H,"DB ETC PLATIN EUR H60",ETFs,"ETFs Rohstoffe ETCs"
DE000A1EK0J7,A1EK0J,"XTR P SILVER EUR H60",ETFs,"ETFs DAX"
DE000A27Z304,A27Z30,"ETC ISSUANCE O.END ETN",ETFs,"sonstige ETFs"
DE000A28M8D0,A28M8D,"VANECK BITCOIN ETN29",ETFs,"sonstige ETFs"
DE000A2QP323,A2QP32,"ISHS TECDAX UCITS ETF EOD",ETFs,"ETFs Deutschland"
DE000A2QP331,A2QP33,"ISHS CORE DAX UC.ETF EOD",ETFs,"ETFs DAX"
DE000A2QP349,A2QP34,"ISHARES MDAX UC.ETF EOD",ETFs,"ETFs Deutschland"
DE000A2T0VS9,A2T0VS,"XTRACK. ETC SILBER 80",ETFs,"ETFs Rohstoffe ETCs"
DE000A2T0VT7,A2T0VT,"XTRACK. ETC PLATIN 80",ETFs,"ETFs Rohstoffe ETCs"
DE000A2T0VU5,A2T0VU,"XTRACK. ETC GOLD 80",ETFs,"ETFs Rohstoffe ETCs"
DE000A2T5DZ1,A2T5DZ,"XTRACK. ETC GOLD 80",ETFs,"ETFs Rohstoffe ETCs"
DE000A2UDH55,A2UDH5,"XTRACK. ETC SILBER 80",ETFs,"ETFs Rohstoffe ETCs"
DE000A2UDH63,A2UDH6,"XTRACK. ETC PLATIN 80",ETFs,"ETFs Rohstoffe ETCs"
DE000A3GK2N1,A3GK2N,"ICONIC FUNDS O.END ETN",ETFs,"sonstige ETFs"
DE000A3GMKD7,A3GMKD,"ETC ISSUANCE O.END ETN",ETFs,"sonstige ETFs"
DE000A3GN5J9,A3GN5J,"ETC ISSUANCE O.END ETN",ETFs,"sonstige ETFs"
DE000A3GPSP7,A3GPSP,"VANECK ETHEREUM ETN29",ETFs,"sonstige ETFs"
DE000A3GSUC5,A3GSUC,"VANECK POLKADOT ETN29",ETFs,"sonstige ETFs"
DE000A3GSUD3,A3GSUD,"VANECK SOLANA ETN29",ETFs,"sonstige ETFs"
DE000A3GSUE1,A3GSUE,"VANECK TRON ETN29",ETFs,"sonstige ETFs"
DE000A3GTML1,A3GTML,"ICONIC ETHEREUM O.END ETP",ETFs,"sonstige ETFs"
DE000A3GV1T7,A3GV1T,"VANECK AVALANCHE ETN29",ETFs,"sonstige ETFs"
DE000A3GV1U5,A3GV1U,"VANECK POLYGON ETN29",ETFs,"sonstige ETFs"
DE000A3GVKX6,A3GVKX,"ETC ISSUANCE O.END ETN",ETFs,"sonstige ETFs"
DE000A3GVKY4,A3GVKY,"ETC ISSUANCE O.END ETN",ETFs,"sonstige ETFs"
DE000A3GVKZ1,A3GVKZ,"ETC ISSUANCE O.END ETN",ETFs,"sonstige ETFs"
DE000A3GWEU3,A3GWEU,"VANECK CRYPTO LEAD. ETN29",ETFs,"sonstige ETFs"
DE000A3GWNE8,A3GWNE,"VANECK ALGORAND ETN29",ETFs,"sonstige ETFs"
DE000A3GWNN9,A3GWNN,"ETC ISSUANCE O.END ETN",ETFs,"sonstige ETFs"
DE000A3GWNP4,A3GWNP,"ETC ISSUANCE O.END ETN",ETFs,"sonstige ETFs"
DE000A3GWNQ2,A3GWNQ,"ETC ISSUANCE O.END ETN",ETFs,"sonstige ETFs"
DE000A3GWSL2,A3GWSL,"ICONIC EOS O.END ETP",ETFs,"sonstige ETFs"
DE000A3GXNT4,A3GXNT,"VANECK CONTRACT L. ETN29",ETFs,"sonstige ETFs"
DE000A3GXNV0,A3GXNV,"VANECK CHAINLINK ETN29",ETFs,"sonstige ETFs"
DE000A3GYNB0,A3GYNB,"ETC ISSUANCE O.END ETN",ETFs,"sonstige ETFs"
DE000A3GYNY2,A3GYNY,"ICONIC META O.END ETP",ETFs,"sonstige ETFs"
DE000ETF7011,ETF701,"LYXOR.PTF ST-LYX.PTF ST.I",ETFs,"sonstige ETFs"
DE000ETF7029,ETF702,"COMST.VERM.STR.-D.U.ETF I",ETFs,"sonstige ETFs"
DE000ETF7037,ETF703,"COMST.VERM.STR.-O.U.ETF I",ETFs,"sonstige ETFs"
DE000ETF9033,ETF903,"COMSTAGE 1 DIVDAX UCITS ETF",ETFs,"ETFs Deutschland"
DE000ETF9074,ETF907,"LY.1-LYXOR 1 MDAX U.ETF I",ETFs,"ETFs Deutschland"
DE000ETF9082,ETF908,"LY.1-LYXOR 1 TECDAX U.E.I",ETFs,"ETFs Deutschland"
DE000ETF9090,ETF909,"LYXOR1-DAX50 ESG(DR)U.E.I",ETFs,"ETFs DAX"
DE000ETF9603,ETF960,"COMSTAGE 1-ST.E.600 U.E.I",ETFs,"ETFs Europa Gesamt"
DE000ETFL011,ETFL01,"DK DAX",ETFs,"ETFs DAX"
DE000ETFL029,ETFL02,"DK EURO STOXX 50",ETFs,"ETFs Europa Gesamt"
DE000ETFL037,ETFL03,"DK STOXX EUR.STR.GROW.20",ETFs,"ETFs Europa Gesamt"
DE000ETFL045,ETFL04,"DK STOXX EUR.STR.VALUE 20",ETFs,"ETFs Europa Gesamt"
DE000ETFL052,ETFL05,"DK STOXX EUR.STR.STY.C.40",ETFs,"ETFs Europa Gesamt"
DE000ETFL060,ETFL06,"DK DAX (AUSSCHUETTEND)",ETFs,"ETFs DAX"
DE000ETFL078,ETFL07,"DEKA EO STOXX SEL.DIV.30 U.ETF",ETFs,"ETFs Europa Gesamt"
DE000ETFL086,ETFL08,"DEKA MSCI EUROPE LC UCITS ETF",ETFs,"ETFs Europa Gesamt"
DE000ETFL094,ETFL09,"DK MSCI USA LC",ETFs,"ETFs Nordamerika"
DE000ETFL102,ETFL10,"DEKA MSCI JAPAN LC UCITS ETF",ETFs,"ETFs Asien"
DE000ETFL110,ETFL11,"DEKA IBOXX EO L.SOV.D.1-10 U.ETF",ETFs,"ETFs Europa Bonds"
DE000ETFL128,ETFL12,"DEKA IBOXX EO L.SOV.D.1-3 U.ETF",ETFs,"ETFs Europa Bonds"
DE000ETFL136,ETFL13,"DEKA IBOXX EO L.SOV.D.3-5 U.ETF",ETFs,"ETFs Europa Bonds"
DE000ETFL144,ETFL14,"DEKA IBOXX EO L.SOV.D.5-7 U.ETF",ETFs,"ETFs Europa Bonds"
DE000ETFL151,ETFL15,"DEKA IBOXX EO L.SOV.D.7-10 U.ETF",ETFs,"ETFs Europa Bonds"
DE000ETFL169,ETFL16,"DEKA IBOXX EO L.SOV.D.10+ U.ETF",ETFs,"ETFs Europa Bonds"
DE000ETFL177,ETFL17,"DEKA DT.BÖRSE EUROG.GER. U.ETF",ETFs,"ETFs Europa Bonds"
DE000ETFL185,ETFL18,"DEKA DT.BÖRSE EUROG.GER.1-3 U.ETF",ETFs,"ETFs Europa Bonds"
DE000ETFL193,ETFL19,"DEKA DT.BÖRSE EUROG.GER.3-5 U.ETF",ETFs,"ETFs Europa Bonds"
DE000ETFL201,ETFL20,"DEKA DT.BÖRSE EUROG.GER.5-10 U.ETF",ETFs,"ETFs Europa Bonds"
DE000ETFL219,ETFL21,"DEKA DT.BÖRSE EUROG.GER.10+ U.ETF",ETFs,"ETFs Europa Bonds"
DE000ETFL227,ETFL22,"DEKA DT.BÖRSE EUROGOV.GER.M.MKT.U.ETF",ETFs,"ETFs Europa Bonds"
DE000ETFL235,ETFL23,"DEKA DAXPLUS MAXIMUM DIV.U.ETF",ETFs,"ETFs Deutschland"
DE000ETFL250,ETFL25,"DK STOXX EUROPE 50",ETFs,"ETFs Europa Gesamt"
DE000ETFL268,ETFL26,"DK MSCI USA",ETFs,"ETFs Nordamerika"
DE000ETFL276,ETFL27,"DK MSCI USA MC",ETFs,"ETFs Nordamerika"
DE000ETFL284,ETFL28,"DEKA MSCI EUROPE UCITS ETF",ETFs,"ETFs Europa Gesamt"
DE000ETFL292,ETFL29,"DEKA MSCI EUROPE MC UCITS ETF",ETFs,"ETFs Europa Gesamt"
DE000ETFL300,ETFL30,"DEKA MSCI JAPAN UCITS ETF",ETFs,"ETFs Asien"
DE000ETFL318,ETFL31,"DEKA MSCI JAPAN MC UCITS ETF",ETFs,"ETFs Asien"
DE000ETFL326,ETFL32,"DK MSCI CHIN.EX A SH.U.E.",ETFs,"ETFs Asien"
DE000ETFL342,ETFL34,"DEKA MSCI EMERGING MKTS. UCITS ETF",ETFs,"ETFs Emerging Markets"
DE000ETFL359,ETFL35,"DEKA IBOXX EO LIQ.GER.COV.D.U.ETF",ETFs,"ETFs Europa Bonds"
DE000ETFL375,ETFL37,"DEKA IBOXX EO LIQ.CORP.DIV.U.ETF",ETFs,"ETFs Europa Bonds"
DE000ETFL383,ETFL38,"DEKA IBOXX EO LIQ.NON-FIN.D.U.ETF",ETFs,"ETFs Europa Bonds"
DE000ETFL425,ETFL42,"DEKA DT.BÖRSE EUROGOV FRANCE U.ETF",ETFs,"ETFs Europa Bonds"
DE000ETFL433,ETFL43,"DEKA DAX EX FINANCIALS",ETFs,"ETFs Deutschland"
DE000ETFL441,ETFL44,"DEKA MDAX",ETFs,"ETFs Deutschland"
DE000ETFL458,ETFL45,"DEKA MSCI EUROPE EX EMU",ETFs,"ETFs Europa Gesamt"
DE000ETFL466,ETFL46,"DEKA EUROSTOXX 50",ETFs,"ETFs Europa Gesamt"
DE000ETFL474,ETFL47,"DEKA OEKOM EO NACHH.U.ETF",ETFs,"ETFs Europa Gesamt"
