ISIN,WKN,Bezeichnung,Anlagegruppe,Anlageuniversum
US45687V1061,A2P070,"INGERSOLL-RAND    DL -, 01","Aktien USA","Aktien USA Select"
US45688C1071,A2AHZS,"INGEVITY CORP.     DL-, 01","Aktien USA","Aktien USA Select"
US4570301048,907146,"INGLES MARKETS A   DL-, 05","Aktien USA","Aktien USA Select"
US4571871023,A1JYNM,"INGREDION INC.","Aktien USA","Aktien USA Select"
US45720L1070,A2PQMH,"INHIBRX INC.   DL -, 0001","Aktien USA","Aktien USA Select"
US4576422053,907651,"INNODATA INC.     DL -, 01","Aktien USA","Aktien USA Select"
US45765U1034,909619,"INSIGHT ENTERPR.   DL-, 01","Aktien USA","Aktien USA Select"
US4576693075,A1JJA3,"INSMED INC.        DL-, 01","Aktien USA","Aktien USA Select"
US45768S1050,A0H1E7,"INNOSPEC INC.      DL-, 01","Aktien USA","Aktien USA Select"
US4577301090,A2JLEP,"INSPIRE MED SYS   DL-, 001","Aktien USA","Aktien USA Select"
US45773H2013,A115GK,"INOVIO PHARMACEUTICAL INC","Aktien USA","Aktien USA Select"
US45774W1080,879065,"INSTEEL INDS INC.","Aktien USA","Aktien USA Select"
US45778Q1076,A1H74T,"INSPERITY INC.     DL-, 01","Aktien USA","Aktien USA Select"
US45779A8466,A3CMP3,"INSPIREMD 1/18 DL-, 0001","Aktien International","Aktien International"
US45780L1044,A1XB32,"INOGEN INC.      DL -, 001","Aktien USA","Aktien USA Select"
US45780R1014,A1XDU6,"INSTAL.BLDG PRODS DL -, 01","Aktien USA","Aktien USA Select"
US45781M1018,A2AC9U,"INNOVIVA INC.      DL-, 01","Aktien USA","Aktien USA Select"
US45781V1017,A2DGXH,"INNOVATIVE IND PR. -, 001","Aktien USA","Aktien USA Select"
US45782B1044,A2DGL3,"INSEEGO CORP.     DL-, 001","Aktien USA","Aktien USA Select"
US45782N1081,A2DJYH,"INSPIRED ENTERTMT  DL-, 01","Aktien USA","Aktien USA Select"
US45784J1051,A3C3CA,"INNOVATE CORP.     DL-, 01","Aktien USA","Aktien USA Select"
US45784P1012,A0MQX8,"INSULET CORP.    DL -, 001","Aktien USA","Aktien USA Select"
US45790J8678,A3DWU0,"INPIXON           DL -, 01","Aktien USA","Aktien USA Select"
US4579852082,897013,"INTEGR.LIFES.HLDGS DL-, 01","Aktien USA","Aktien USA Select"
US4581401001,855681,"INTEL CORP.       DL-, 001","Aktien USA","Aktien NASDAQ 100 Select"
US45822R1014,A0RP0X,"INTELGENX TECHN.DL-, 00001","Aktien International","Aktien International"
US45826H1095,A2AMZW,"INTEGER HLDGS     DL-, 001","Aktien USA","Aktien USA Select"
US45826J1051,A2AG6H,"INTELLIA THERAPEU  DL-, 01","Aktien USA","Aktien USA Select"
US4583341098,883617,"INTER PARFUMS INC. DL-001","Aktien USA","Aktien USA Select"
US45841N1072,A0MQY6,"INTERACTIVE BROKERS DL-01","Aktien USA","Aktien USA Select"
US45845P1084,A1J5U0,"INTERCEPT PHARMAC.DL-, 001","Aktien USA","Aktien USA Select"
US45857P8068,A2PBZV,INTERCONT.HOT.G.N.ADR,"Aktien USA","Aktien USA Select"
US4586653044,A1JYG7,"INTERFACE INC.     DL-, 10","Aktien USA","Aktien USA Select"
US45866F1049,A1W5H0,"INTERCONT. EXCHANGE","Aktien USA","Aktien USA Select"
US45867G1013,A0MWY3,"INTERDIGITAL INC. (PA.)","Aktien USA","Aktien USA Select"
US4590441030,923114,"INTL BANCSHARES      DL 1","Aktien USA","Aktien USA Select"
US4592001014,851399,"INTL BUS. MACH.    DL-, 20","Aktien USA","Aktien NASDAQ 100 Select"
US4595061015,853881,"INTL FLAVORS/FRAG.DL-, 125","Aktien USA","Aktien USA Select"
US4601461035,851413,"INTL PAPER DL 1","Aktien USA","Aktien USA Select"
US46062X3035,A2PYCU,"INTERPACE BIOSCIEN.DL-, 01","Aktien International","Aktien International"
US4606901001,851781,"INTERPUBL.GR. COS. DL-, 10","Aktien USA","Aktien USA Select"
